"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-2-26","10.53","10.78","10.88","10.50","286.26M","-2.95%"
"2024-2-23","10.85","10.88","11.24","10.84","356.75M","-0.46%"
"2024-2-22","10.90","10.65","10.91","10.62","492.23M","0.93%"
"2024-2-21","10.80","9.78","10.80","9.77","505.53M","9.98%"
"2024-2-20","9.82","9.79","9.84","9.73","112.36M","0.10%"
"2024-2-19","9.81","9.76","9.81","9.65","160.52M","1.45%"
"2024-2-8","9.67","9.58","9.67","9.52","165.68M","0.62%"
"2024-2-7","9.61","9.62","9.67","9.48","206.20M","-0.72%"
"2024-2-6","9.68","9.30","9.68","9.29","199.54M","3.20%"
"2024-2-5","9.38","9.19","9.43","9.11","180.36M","1.19%"
"2024-2-2","9.27","9.42","9.47","9.07","163.42M","-1.49%"
"2024-2-1","9.41","9.41","9.48","9.34","105.53M","-0.53%"
"2024-1-31","9.46","9.46","9.56","9.38","135.72M","-0.42%"
"2024-1-30","9.50","9.61","9.70","9.49","157.91M","-2.06%"
"2024-1-29","9.70","9.69","9.88","9.58","237.63M","0.83%"
"2024-1-26","9.62","9.47","9.67","9.44","227.23M","1.26%"
"2024-1-25","9.50","9.33","9.54","9.27","216.25M","1.82%"
"2024-1-24","9.33","9.23","9.34","9.07","175.91M","1.86%"
"2024-1-23","9.16","9.05","9.18","8.96","113.55M","0.66%"
"2024-1-22","9.10","9.16","9.26","9.04","158.03M","-0.76%"
"2024-1-19","9.17","9.16","9.20","9.10","96.40M","-0.33%"
"2024-1-18","9.20","9.21","9.24","9.00","175.51M","-0.33%"
"2024-1-17","9.23","9.33","9.39","9.23","148.23M","-1.18%"
"2024-1-16","9.34","9.19","9.35","9.16","143.83M","1.41%"
"2024-1-15","9.21","9.16","9.29","9.13","74.51M","0.22%"
"2024-1-12","9.19","9.13","9.27","9.11","77.26M","0.22%"
"2024-1-11","9.17","9.08","9.22","9.03","93.47M","0.88%"
"2024-1-10","9.09","9.16","9.19","9.09","85.86M","-0.98%"
"2024-1-9","9.18","9.16","9.19","9.09","76.62M","0.33%"
"2024-1-8","9.15","9.23","9.30","9.11","112.12M","-1.29%"
"2024-1-5","9.27","9.10","9.44","9.07","199.16M","1.76%"
"2024-1-4","9.11","9.19","9.19","9.08","86.42M","-0.98%"
"2024-1-3","9.20","9.19","9.22","9.15","73.36M","-0.11%"
"2024-1-2","9.21","9.39","9.42","9.21","115.84M","-1.92%"
